
running 1 test
bvh_build entries=46908 payload_ms=4.304 keys_ms=0.728 partition_ms=2.881 assembly_ms=2.820 cleanup_ms=0.005 node_bytes=12008320 total_ms=10.737
bvh_build entries=46908 payload_ms=9.113 keys_ms=0.593 partition_ms=3.298 assembly_ms=3.997 cleanup_ms=0.005 node_bytes=12008320 total_ms=17.005
bvh_build entries=46908 payload_ms=4.839 keys_ms=1.078 partition_ms=4.003 assembly_ms=4.002 cleanup_ms=0.005 node_bytes=12008320 total_ms=13.927
bvh_build entries=46908 payload_ms=5.861 keys_ms=0.631 partition_ms=3.133 assembly_ms=2.416 cleanup_ms=0.005 node_bytes=12008320 total_ms=12.045
bvh_build entries=46908 payload_ms=6.941 keys_ms=1.107 partition_ms=2.783 assembly_ms=4.421 cleanup_ms=0.004 node_bytes=12008320 total_ms=15.257
bvh_build entries=46908 payload_ms=5.950 keys_ms=0.947 partition_ms=4.420 assembly_ms=3.146 cleanup_ms=0.006 node_bytes=12008320 total_ms=14.468
bvh_build entries=46908 payload_ms=5.238 keys_ms=0.947 partition_ms=3.179 assembly_ms=2.444 cleanup_ms=0.005 node_bytes=12008320 total_ms=11.813
bvh_build entries=46908 payload_ms=4.282 keys_ms=0.651 partition_ms=4.381 assembly_ms=2.293 cleanup_ms=0.005 node_bytes=12008320 total_ms=11.612
bvh_build entries=46908 payload_ms=4.532 keys_ms=0.698 partition_ms=2.747 assembly_ms=2.358 cleanup_ms=0.003 node_bytes=12008320 total_ms=10.338
bvh_build entries=46908 payload_ms=4.386 keys_ms=0.641 partition_ms=4.333 assembly_ms=3.311 cleanup_ms=0.004 node_bytes=12008320 total_ms=12.676
bvh_build entries=46908 payload_ms=4.272 keys_ms=0.691 partition_ms=2.872 assembly_ms=2.268 cleanup_ms=0.003 node_bytes=12008320 total_ms=10.107
bvh_build entries=46908 payload_ms=4.345 keys_ms=0.653 partition_ms=2.947 assembly_ms=3.081 cleanup_ms=0.005 node_bytes=12008320 total_ms=11.031
bvh_build entries=46908 payload_ms=7.454 keys_ms=0.793 partition_ms=4.579 assembly_ms=5.089 cleanup_ms=0.003 node_bytes=12008320 total_ms=17.918
bvh_build entries=46908 payload_ms=8.939 keys_ms=1.293 partition_ms=4.083 assembly_ms=2.657 cleanup_ms=0.005 node_bytes=12008320 total_ms=16.975
bvh_build entries=46908 payload_ms=4.760 keys_ms=0.942 partition_ms=3.750 assembly_ms=2.942 cleanup_ms=0.004 node_bytes=12008320 total_ms=12.398
