scenario,format,codec,repeat,first_wire_bytes,raw_bytes,wire_bytes,serialize_us,compress_us,decompress_us,parse_us,server_us,server_p95_us,client_us,asset_wire_bytes
coast1024,compact,zstd3-w23,1,64861,114062.7,22136.0,200.2,185.6,32.6,644.8,385.8,427.9,677.4,0
coast1024,snapshot,zstd1-independent,1,63261,192925.7,63541.0,248.0,371.3,81.4,914.5,619.3,692.9,995.9,0
coast1024,delta,raw,1,192926,21641.3,21641.3,83.2,11.8,0.9,98.0,95.0,95.0,98.8,0
coast1024,delta,lz4-linked,1,83727,21641.3,21373.6,84.0,14.7,9.3,96.5,98.7,103.2,105.9,0
coast1024,delta,zstd1-w23,1,63276,21641.3,19452.5,83.7,32.4,15.5,98.5,116.1,120.6,113.9,0
coast1024,snapshot,raw,1,192910,192925.7,192925.7,267.9,39.1,6.2,918.9,307.0,403.7,925.1,0
coast1024,snapshot,lz4-linked,1,83730,192925.7,83645.2,285.6,262.7,76.8,926.4,548.4,604.3,1003.1,0
coast1024,snapshot,zstd1-w20,1,63261,192925.7,25298.8,303.1,143.6,38.8,919.7,446.7,535.6,958.6,0
coast1024,snapshot,zstd1-w23,1,63261,192925.7,25298.8,301.7,136.8,38.5,924.2,438.5,541.0,962.7,0
coast1024,snapshot,zstd1-independent,2,63261,192925.7,63541.0,241.7,368.8,82.4,920.0,610.6,672.0,1002.5,0
coast1024,delta,raw,2,192926,21641.3,21641.3,88.4,12.0,0.8,98.4,100.4,154.5,99.2,0
coast1024,delta,lz4-linked,2,83727,21641.3,21373.6,83.7,14.7,9.5,98.3,98.4,103.0,107.7,0
coast1024,delta,zstd1-w23,2,63276,21641.3,19452.5,83.9,31.8,16.1,103.3,115.7,120.6,119.5,0
coast1024,snapshot,raw,2,192910,192925.7,192925.7,276.6,39.3,6.4,915.7,315.8,407.7,922.0,0
coast1024,snapshot,lz4-linked,2,83730,192925.7,83645.2,295.0,265.3,76.4,918.4,560.3,601.1,994.8,0
coast1024,snapshot,zstd1-w20,2,63261,192925.7,25298.8,300.7,143.5,38.9,919.8,444.2,520.7,958.7,0
coast1024,snapshot,zstd1-w23,2,63261,192925.7,25298.8,302.9,139.3,38.2,916.9,442.2,534.7,955.1,0
coast1024,snapshot,zstd3-w20,2,63978,192925.7,23594.5,304.9,303.3,39.7,926.8,608.2,662.7,966.4,0
coast1024,snapshot,zstd3-w23,2,63978,192925.7,23776.1,302.6,241.0,37.9,922.8,543.5,564.5,960.7,0
coast1024,compact,zstd1-w23,2,65569,114062.7,22726.8,226.8,105.0,30.7,635.1,331.8,365.9,665.9,0
coast1024,compact,zstd3-w23,2,64861,114062.7,22136.0,199.3,191.4,32.5,633.7,390.7,427.7,666.2,0
battle1024,snapshot,raw,0,205228,205380.6,205380.6,272.7,46.9,6.1,935.1,319.5,450.9,941.2,0
battle1024,snapshot,lz4-linked,0,107048,205380.6,107145.6,292.0,358.7,94.0,938.6,650.7,723.6,1032.6,0
battle1024,snapshot,zstd1-w20,0,83078,205380.6,55734.5,299.8,266.8,77.3,931.6,566.6,689.6,1008.9,0
