codec,contexts,allocator_bytes_per_context,reported_bytes_per_context
lz4-linked,16,2376162,0
zstd1-w18,16,2156244,2156057
zstd1-w20,16,2942641,2942489
zstd1-w22,16,6092065,6088217
zstd1-w24,16,18674977,18671129
zstd3-w18,16,2877105,2876953
zstd3-w20,16,3663537,3663385
zstd3-w22,16,6809265,6809113
zstd3-w24,16,19395873,19392025
zstd1-w21,16,3994948,3991065
zstd3-w21,16,4715809,4711961
