scenario,codec,trials,raw_bytes,wire_bytes,asset_wire_bytes_per_tick,serialize_us,compress_cpu_us,asset_cpu_us_per_tick,compress_wall_p95_us,encoder_bytes,main_mbps,total_mbps,server_us,cores_per_1000_clients,encoder_gib_per_1000_clients
coast1024,zstd3-w23,3,141540.5,22498.7,0.0,44.831,234.563,0.0,248.122,10085913.0,1.799896,1.799896,279.394,2.79394,9.393238462507725
coast1024,zstd3-w24,3,141540.5,22498.7,0.0,44.831,228.329,0.0,247.703,18474521.0,1.799896,1.799896,273.16,2.7316000000000003,17.205738462507725
coast1024,zstd3-w23-ldm,3,141540.5,23680.6,0.0,44.831,425.682,0.0,448.074,10638873.0,1.894448,1.894448,470.51300000000003,4.7051300000000005,9.9082225933671
coast1024,zstd3-w24-ldm,3,141540.5,23695.8,0.0,44.831,459.182,0.0,479.264,19555865.0,1.895664,1.895664,504.01300000000003,5.04013,18.212818540632725
battle1024,lz4-linked,3,141716.5,88310.0,0.0,44.451,174.729,0.0,184.791,0.0,7.0648,7.0648,219.18,2.1918,
battle1024,zstd-1-w16,3,141716.5,80691.5,0.0,44.451,161.185,0.0,167.322,632121.0,6.45532,6.45532,205.636,2.0563599999999997,0.5887085571885109
battle1024,zstd-1-w18,3,141716.5,53787.6,0.0,44.451,133.637,0.0,188.762,1205785.0,4.303008,4.303008,178.088,1.78088,1.1229747906327248
battle1024,zstd-1-w20,3,141716.5,53787.6,0.0,44.451,141.587,0.0,210.852,1992217.0,4.303008,4.303008,186.03799999999998,1.86038,1.8553966656327248
battle1024,zstd-1-w22,3,141716.5,53787.6,0.0,44.451,144.071,0.0,210.702,5137945.0,4.303008,4.303008,188.522,1.88522,4.785084165632725
battle1024,zstd-1-w23,3,141716.5,53787.6,0.0,44.451,147.333,0.0,212.892,9332249.0,4.303008,4.303008,191.784,1.91784,8.691334165632725
battle1024,zstd-1-w24,3,141716.5,53787.6,0.0,44.451,149.353,0.0,214.312,17720857.0,4.303008,4.303008,193.804,1.93804,16.503834165632725
battle1024,zstd1-w16,3,141716.5,79503.3,0.0,44.451,223.292,0.0,232.732,664889.0,6.360264,6.360264,267.743,2.6774299999999998,0.6192261353135109
battle1024,zstd1-w18,3,141716.5,49435.8,0.0,44.451,166.193,0.0,188.361,1238553.0,3.954864,3.954864,210.644,2.10644,1.1534923687577248
battle1024,zstd1-w20,3,141716.5,49435.8,0.0,44.451,175.148,0.0,187.662,2024985.0,3.954864,3.954864,219.599,2.19599,1.8859142437577248
battle1024,zstd1-w22,3,141716.5,49435.8,0.0,44.451,178.309,0.0,188.932,5170713.0,3.954864,3.954864,222.76,2.2276,4.815601743757725
battle1024,zstd1-w23,3,141716.5,49435.8,0.0,44.451,180.097,0.0,190.602,9365017.0,3.954864,3.954864,224.548,2.24548,8.721851743757725
battle1024,zstd1-w24,3,141716.5,49435.8,0.0,44.451,181.38,0.0,191.802,17753625.0,3.954864,3.954864,225.831,2.25831,16.534351743757725
battle1024,zstd3-w16,3,141716.5,79758.7,0.0,44.451,412.46,0.0,440.324,1385785.0,6.380696,6.380696,456.911,4.56911,1.290612854063511
battle1024,zstd3-w18,3,141716.5,51036.7,0.0,44.451,470.562,0.0,638.596,1959449.0,4.082936,4.082936,515.013,5.150130000000001,1.8248790875077248
battle1024,zstd3-w20,3,141716.5,49342.9,0.0,44.451,418.556,0.0,445.825,2745881.0,3.947432,3.947432,463.007,4.63007,2.5573009625077248
battle1024,zstd3-w22,3,141716.5,49345.3,0.0,44.451,401.185,0.0,427.394,5891609.0,3.947624,3.947624,445.636,4.45636,5.486988462507725
battle1024,zstd3-w23,3,141716.5,49345.0,0.0,44.451,402.668,0.0,427.354,10085913.0,3.9476,3.9476,447.119,4.47119,9.393238462507725
battle1024,zstd3-w24,3,141716.5,49345.0,0.0,44.451,403.315,0.0,421.754,18474521.0,3.9476,3.9476,447.766,4.47766,17.205738462507725
battle1024,zstd3-w23-ldm,3,141716.5,50367.6,0.0,44.451,574.251,0.0,603.026,10638873.0,4.029408,4.029408,618.702,6.18702,9.9082225933671
battle1024,zstd3-w24-ldm,3,141716.5,50392.5,0.0,44.451,574.184,0.0,608.026,19555865.0,4.0314,4.0314,618.635,6.18635,18.212818540632725
battle8192,lz4-linked,3,1130899.9,704632.4,0.0,295.015,1395.616,0.0,1430.624,0.0,56.370592,56.370592,1690.6309999999999,16.906309999999998,
battle8192,zstd-1-w16,3,1130899.9,642294.3,0.0,295.015,1270.76,0.0,1308.442,1549625.0,51.383544,51.383544,1565.775,15.65775,1.443200744688511
battle8192,zstd-1-w18,3,1130899.9,643894.8,0.0,295.015,1412.618,0.0,1449.593,2123289.0,51.511584,51.511584,1707.6329999999998,17.07633,1.9774669781327248
battle8192,zstd-1-w20,3,1130899.9,643894.4,0.0,295.015,1556.21,0.0,1600.545,2909721.0,51.511552,51.511552,1851.225,18.512249999999998,2.7098888531327248
battle8192,zstd-1-w22,6,1130899.9,643894.5,0.0,323.75199999999995,1684.919,0.0,1821.147,6055449.0,51.51156,51.51156,2008.671,20.08671,5.639576353132725
battle8192,zstd-1-w23,3,1130899.9,643894.4,0.0,295.015,1657.348,0.0,1722.786,10249753.0,51.511552,51.511552,1952.3629999999998,19.523629999999997,9.545826353132725
battle8192,zstd-1-w24,3,1130899.9,643894.4,0.0,295.015,1673.391,0.0,1714.426,18638361.0,51.511552,51.511552,1968.406,19.68406,17.358326353132725
battle8192,zstd1-w16,3,1130899.9,633671.9,0.0,295.015,1703.431,0.0,1739.677,1582393.0,50.693752,50.693752,1998.446,19.98446,1.473718322813511
battle8192,zstd1-w18,3,1130899.9,636270.8,0.0,295.015,1906.914,0.0,1949.438,2156057.0,50.901664,50.901664,2201.929,22.01929,2.0079845562577248
battle8192,zstd1-w20,3,1130899.9,636278.1,0.0,295.015,2041.444,0.0,2077.249,2942489.0,50.902248,50.902248,2336.459,23.36459,2.7404064312577248
battle8192,zstd1-w22,6,1130899.9,636278.1,0.0,323.75199999999995,2155.441,0.0,2269.2865,6088217.0,50.902248,50.902248,2479.1929999999998,24.791929999999997,5.670093931257725
battle8192,zstd1-w23,3,1130899.9,636278.1,0.0,295.015,2108.797,0.0,2184.18,10282521.0,50.902248,50.902248,2403.812,24.03812,9.576343931257725
battle8192,zstd1-w24,3,1130899.9,636278.1,0.0,295.015,2118.44,0.0,2157.75,18671129.0,50.902248,50.902248,2413.455,24.13455,17.388843931257725
battle8192,zstd3-w16,3,1130899.9,635900.1,0.0,295.015,3124.73,0.0,3194.79,2303289.0,50.872008,50.872008,3419.745,34.197449999999996,2.145105041563511
