scenario,codec,repeat,raw_bytes,wire_bytes,asset_wire_bytes_per_tick,serialize_us,compress_cpu_us,asset_cpu_us_per_tick,compress_wall_p95_us,encoder_bytes
coast1024,zstd-1-w16,0,141540.5,62890.8,0.0,44.831,135.398,0.000,145.641,632121
coast1024,zstd-1-w18,0,141540.5,23122.8,0.0,44.831,71.882,0.000,86.010,1205785
coast1024,zstd-1-w20,0,141540.5,23122.8,0.0,44.831,78.004,0.000,93.351,1992217
coast1024,zstd-1-w22,0,141540.5,23122.8,0.0,44.831,76.807,0.000,84.461,5137945
coast1024,zstd-1-w23,0,141540.5,23122.8,0.0,44.831,77.792,0.000,83.200,9332249
coast1024,zstd-1-w24,0,141540.5,23122.8,0.0,44.831,81.049,0.000,91.461,17720857
coast1024,zstd1-w16,0,141540.5,61879.9,0.0,44.831,185.690,0.000,203.641,664889
coast1024,zstd1-w18,0,141540.5,22554.3,0.0,44.831,103.714,0.000,123.761,1238553
coast1024,zstd1-w20,0,141540.5,22554.3,0.0,44.831,118.243,0.000,149.102,2024985
coast1024,zstd1-w22,0,141540.5,22554.3,0.0,44.831,105.071,0.000,113.291,5170713
coast1024,zstd1-w23,0,141540.5,22554.3,0.0,44.831,105.907,0.000,116.191,9365017
coast1024,zstd1-w24,0,141540.5,22554.3,0.0,44.831,107.396,0.000,116.001,17753625
coast1024,zstd3-w16,0,141540.5,62047.2,0.0,44.831,329.947,0.000,348.663,1385785
coast1024,zstd3-w18,0,141540.5,24091.6,0.0,44.831,229.996,0.000,312.373,1959449
coast1024,zstd3-w20,0,141540.5,22498.2,0.0,44.831,248.970,0.000,273.843,2745881
coast1024,zstd3-w22,0,141540.5,22498.7,0.0,44.831,222.072,0.000,243.752,5891609
coast1024,zstd3-w23,0,141540.5,22498.7,0.0,44.831,251.330,0.000,281.742,10085913
coast1024,zstd3-w24,0,141540.5,22498.7,0.0,44.831,233.712,0.000,247.703,18474521
coast1024,zstd3-w23-ldm,0,141540.5,23680.6,0.0,44.831,425.682,0.000,448.074,10638873
coast1024,zstd3-w24-ldm,0,141540.5,23695.8,0.0,44.831,459.182,0.000,481.414,19555865
coast1024,zstd1-w16,1,141540.5,61879.9,0.0,44.831,184.864,0.000,190.861,664889
coast1024,zstd1-w18,1,141540.5,22554.3,0.0,44.831,103.501,0.000,121.091,1238553
coast1024,zstd1-w20,1,141540.5,22554.3,0.0,44.831,105.592,0.000,114.781,2024985
coast1024,zstd1-w22,1,141540.5,22554.3,0.0,44.831,104.380,0.000,111.791,5170713
coast1024,zstd1-w23,1,141540.5,22554.3,0.0,44.831,104.857,0.000,111.711,9365017
coast1024,zstd1-w24,1,141540.5,22554.3,0.0,44.831,107.127,0.000,115.481,17753625
coast1024,zstd3-w16,1,141540.5,62047.2,0.0,44.831,344.463,0.000,366.724,1385785
coast1024,zstd3-w18,1,141540.5,24091.6,0.0,44.831,234.218,0.000,333.833,1959449
coast1024,zstd3-w20,1,141540.5,22498.2,0.0,44.831,245.046,0.000,274.453,2745881
coast1024,zstd3-w22,1,141540.5,22498.7,0.0,44.831,234.766,0.000,243.833,5891609
coast1024,zstd3-w23,1,141540.5,22498.7,0.0,44.831,234.563,0.000,248.122,10085913
coast1024,zstd3-w24,1,141540.5,22498.7,0.0,44.831,228.329,0.000,276.343,18474521
coast1024,zstd3-w23-ldm,1,141540.5,23680.6,0.0,44.831,424.647,0.000,445.764,10638873
coast1024,zstd3-w24-ldm,1,141540.5,23695.8,0.0,44.831,431.496,0.000,444.824,19555865
coast1024,lz4-linked,1,141540.5,70308.5,0.0,44.831,146.354,0.000,152.981,0
coast1024,zstd-1-w16,1,141540.5,62890.8,0.0,44.831,136.396,0.000,141.302,632121
coast1024,zstd-1-w18,1,141540.5,23122.8,0.0,44.831,71.301,0.000,82.701,1205785
coast1024,zstd-1-w20,1,141540.5,23122.8,0.0,44.831,75.418,0.000,83.711,1992217
coast1024,zstd-1-w22,1,141540.5,23122.8,0.0,44.831,76.467,0.000,80.501,5137945
coast1024,zstd-1-w23,1,141540.5,23122.8,0.0,44.831,79.441,0.000,87.841,9332249
coast1024,zstd-1-w24,1,141540.5,23122.8,0.0,44.831,80.877,0.000,87.970,17720857
coast1024,zstd3-w18,2,141540.5,24091.6,0.0,44.831,231.041,0.000,306.853,1959449
coast1024,zstd3-w20,2,141540.5,22498.2,0.0,44.831,242.609,0.000,259.023,2745881
coast1024,zstd3-w22,2,141540.5,22498.7,0.0,44.831,216.100,0.000,226.513,5891609
coast1024,zstd3-w23,2,141540.5,22498.7,0.0,44.831,220.596,0.000,242.173,10085913
coast1024,zstd3-w24,2,141540.5,22498.7,0.0,44.831,214.707,0.000,226.243,18474521
coast1024,zstd3-w23-ldm,2,141540.5,23680.6,0.0,44.831,431.213,0.000,480.075,10638873
coast1024,zstd3-w24-ldm,2,141540.5,23695.8,0.0,44.831,460.326,0.000,479.264,19555865
coast1024,lz4-linked,2,141540.5,70308.5,0.0,44.831,148.506,0.000,155.591,0
coast1024,zstd-1-w16,2,141540.5,62890.8,0.0,44.831,135.500,0.000,144.781,632121
coast1024,zstd-1-w18,2,141540.5,23122.8,0.0,44.831,71.884,0.000,84.281,1205785
coast1024,zstd-1-w20,2,141540.5,23122.8,0.0,44.831,74.995,0.000,83.061,1992217
coast1024,zstd-1-w22,2,141540.5,23122.8,0.0,44.831,75.827,0.000,83.031,5137945
coast1024,zstd-1-w23,2,141540.5,23122.8,0.0,44.831,78.953,0.000,87.801,9332249
coast1024,zstd-1-w24,2,141540.5,23122.8,0.0,44.831,81.567,0.000,90.251,17720857
coast1024,zstd1-w16,2,141540.5,61879.9,0.0,44.831,184.973,0.000,194.432,664889
coast1024,zstd1-w18,2,141540.5,22554.3,0.0,44.831,105.911,0.000,134.991,1238553
coast1024,zstd1-w20,2,141540.5,22554.3,0.0,44.831,102.916,0.000,112.651,2024985
coast1024,zstd1-w22,2,141540.5,22554.3,0.0,44.831,104.483,0.000,111.231,5170713
coast1024,zstd1-w23,2,141540.5,22554.3,0.0,44.831,108.412,0.000,126.461,9365017
coast1024,zstd1-w24,2,141540.5,22554.3,0.0,44.831,107.417,0.000,114.732,17753625
coast1024,zstd3-w16,2,141540.5,62047.2,0.0,44.831,332.229,0.000,355.473,1385785
battle1024,lz4-linked,0,141716.5,88310.0,0.0,44.451,174.815,0.000,184.791,0
battle1024,zstd-1-w16,0,141716.5,80691.5,0.0,44.451,159.641,0.000,167.322,632121
battle1024,zstd-1-w18,0,141716.5,53787.6,0.0,44.451,133.637,0.000,216.272,1205785
battle1024,zstd-1-w20,0,141716.5,53787.6,0.0,44.451,141.587,0.000,210.852,1992217
battle1024,zstd-1-w22,0,141716.5,53787.6,0.0,44.451,143.814,0.000,209.322,5137945
battle1024,zstd-1-w23,0,141716.5,53787.6,0.0,44.451,147.333,0.000,212.892,9332249
battle1024,zstd-1-w24,0,141716.5,53787.6,0.0,44.451,150.057,0.000,213.122,17720857
battle1024,zstd1-w16,0,141716.5,79503.3,0.0,44.451,222.772,0.000,232.732,664889
battle1024,zstd1-w18,0,141716.5,49435.8,0.0,44.451,164.946,0.000,187.282,1238553
battle1024,zstd1-w20,0,141716.5,49435.8,0.0,44.451,176.791,0.000,189.891,2024985
battle1024,zstd1-w22,0,141716.5,49435.8,0.0,44.451,178.309,0.000,190.582,5170713
battle1024,zstd1-w23,0,141716.5,49435.8,0.0,44.451,180.814,0.000,195.232,9365017
battle1024,zstd1-w24,0,141716.5,49435.8,0.0,44.451,181.380,0.000,191.802,17753625
battle1024,zstd3-w16,0,141716.5,79758.7,0.0,44.451,411.385,0.000,440.324,1385785
battle1024,zstd3-w18,0,141716.5,51036.7,0.0,44.451,470.562,0.000,633.736,1959449
battle1024,zstd3-w20,0,141716.5,49342.9,0.0,44.451,415.576,0.000,439.674,2745881
battle1024,zstd3-w22,0,141716.5,49345.3,0.0,44.451,395.486,0.000,417.354,5891609
battle1024,zstd3-w23,0,141716.5,49345.0,0.0,44.451,406.523,0.000,430.814,10085913
battle1024,zstd3-w24,0,141716.5,49345.0,0.0,44.451,403.150,0.000,421.754,18474521
battle1024,zstd3-w23-ldm,0,141716.5,50367.6,0.0,44.451,563.351,0.000,586.406,10638873
battle1024,zstd3-w24-ldm,0,141716.5,50392.5,0.0,44.451,574.184,0.000,608.026,19555865
battle1024,zstd1-w16,1,141716.5,79503.3,0.0,44.451,223.292,0.000,232.022,664889
battle1024,zstd1-w18,1,141716.5,49435.8,0.0,44.451,166.851,0.000,189.382,1238553
battle1024,zstd1-w20,1,141716.5,49435.8,0.0,44.451,175.148,0.000,187.662,2024985
battle1024,zstd1-w22,1,141716.5,49435.8,0.0,44.451,179.591,0.000,188.932,5170713
battle1024,zstd1-w23,1,141716.5,49435.8,0.0,44.451,176.750,0.000,185.741,9365017
battle1024,zstd1-w24,1,141716.5,49435.8,0.0,44.451,182.196,0.000,196.112,17753625
battle1024,zstd3-w16,1,141716.5,79758.7,0.0,44.451,412.830,0.000,437.804,1385785
battle1024,zstd3-w18,1,141716.5,51036.7,0.0,44.451,469.281,0.000,638.596,1959449
battle1024,zstd3-w20,1,141716.5,49342.9,0.0,44.451,419.678,0.000,457.234,2745881
battle1024,zstd3-w22,1,141716.5,49345.3,0.0,44.451,401.185,0.000,427.394,5891609
battle1024,zstd3-w23,1,141716.5,49345.0,0.0,44.451,402.668,0.000,427.354,10085913
battle1024,zstd3-w24,1,141716.5,49345.0,0.0,44.451,403.923,0.000,420.544,18474521
battle1024,zstd3-w23-ldm,1,141716.5,50367.6,0.0,44.451,574.251,0.000,603.026,10638873
battle1024,zstd3-w24-ldm,1,141716.5,50392.5,0.0,44.451,579.792,0.000,612.756,19555865
battle1024,lz4-linked,1,141716.5,88310.0,0.0,44.451,174.729,0.000,183.682,0
battle1024,zstd-1-w16,1,141716.5,80691.5,0.0,44.451,161.594,0.000,171.381,632121
battle1024,zstd-1-w18,1,141716.5,53787.6,0.0,44.451,133.712,0.000,188.762,1205785
battle1024,zstd-1-w20,1,141716.5,53787.6,0.0,44.451,144.156,0.000,211.892,1992217
battle1024,zstd-1-w22,1,141716.5,53787.6,0.0,44.451,146.021,0.000,210.822,5137945
battle1024,zstd-1-w23,1,141716.5,53787.6,0.0,44.451,147.047,0.000,212.162,9332249
battle1024,zstd-1-w24,1,141716.5,53787.6,0.0,44.451,149.046,0.000,214.362,17720857
battle1024,zstd3-w18,2,141716.5,51036.7,0.0,44.451,471.147,0.000,639.936,1959449
battle1024,zstd3-w20,2,141716.5,49342.9,0.0,44.451,418.556,0.000,445.825,2745881
battle1024,zstd3-w22,2,141716.5,49345.3,0.0,44.451,406.693,0.000,438.515,5891609
battle1024,zstd3-w23,2,141716.5,49345.0,0.0,44.451,399.872,0.000,416.464,10085913
battle1024,zstd3-w24,2,141716.5,49345.0,0.0,44.451,403.315,0.000,422.204,18474521
battle1024,zstd3-w23-ldm,2,141716.5,50367.6,0.0,44.451,590.174,0.000,676.226,10638873
battle1024,zstd3-w24-ldm,2,141716.5,50392.5,0.0,44.451,570.489,0.000,599.726,19555865
battle1024,lz4-linked,2,141716.5,88310.0,0.0,44.451,174.684,0.000,185.592,0
battle1024,zstd-1-w16,2,141716.5,80691.5,0.0,44.451,161.185,0.000,166.432,632121
battle1024,zstd-1-w18,2,141716.5,53787.6,0.0,44.451,132.531,0.000,186.132,1205785
battle1024,zstd-1-w20,2,141716.5,53787.6,0.0,44.451,141.497,0.000,210.082,1992217
battle1024,zstd-1-w22,2,141716.5,53787.6,0.0,44.451,144.071,0.000,210.702,5137945
battle1024,zstd-1-w23,2,141716.5,53787.6,0.0,44.451,148.365,0.000,213.492,9332249
battle1024,zstd-1-w24,2,141716.5,53787.6,0.0,44.451,149.353,0.000,214.312,17720857
battle1024,zstd1-w16,2,141716.5,79503.3,0.0,44.451,224.599,0.000,236.322,664889
battle1024,zstd1-w18,2,141716.5,49435.8,0.0,44.451,166.193,0.000,188.361,1238553
battle1024,zstd1-w20,2,141716.5,49435.8,0.0,44.451,174.308,0.000,186.362,2024985
battle1024,zstd1-w22,2,141716.5,49435.8,0.0,44.451,176.908,0.000,188.802,5170713
battle1024,zstd1-w23,2,141716.5,49435.8,0.0,44.451,180.097,0.000,190.602,9365017
